Name,UG Intake,PG Intake,N_T,Faculty,Full Time,Part Time,UG Enrolled,PG Enrolled
Indian Institute of Technology Madras,3813,1573,5386,642,2112,39,3935,1914
Indian Institute of Technology Delhi,3772,2214,5986,667,2349,570,3988,2177
Indian Institute of Technology Bombay,3744,1543,5287,592,1879,308,4179,1738
Indian Institute of Technology Kanpur,3471,1895,5366,481,1742,26,3507,1759
Indian Institute of Technology Kharagpur,2773,5946,8719,794,2963,0,2519,6160
Indian Institute of Technology Roorkee,3498,1965,5463,523,1880,234,3455,1852
Indian Institute of Technology Guwahati,2948,1422,4370,402,1838,164,2926,1331
Indian Institute of Technology Hyderabad,1127,487,1614,242,494,123,1143,433
National Institute of Technology Tiruchirappalli,3268,1164,4432,368,649,412,3671,976
National Institute of Technology Karnataka,2960,1158,4118,440,622,177,3365,1108
Indian Institute of Technology (Indian School of Mines),3890,1645,5535,354,602,562,3739,912
Vellore Institute of Technology,27966,7338,35304,2031,1022,1041,25554,6316
Indian Institute of Technology Indore,1089,356,1445,171,485,15,1054,124
Indian Institute of Technology (Banaras Hindu University) Varanasi,4968,977,5945,343,1044,4,4686,823
Institute of Chemical Technology,844,784,1628,142,316,73,871,709
Amrita Vishwa Vidyapeetham,8940,1820,10760,752,265,358,9349,757
Jadavpur University,5520,1470,6990,323,1175,0,4908,1345
Anna University,10690,3408,14098,982,846,765,10558,2617
Indian Institute of Technology Ropar,1032,484,1516,176,538,36,995,468
National Institute of Technology Rourkela,3099,2940,6039,388,1183,111,3296,2167
Indian Institute of Technology Patna,1036,357,1393,127,432,52,992,202
Indian Institute of Technology Gandhinagar,747,350,1097,103,436,4,757,306
National Institute of Technology Warangal,3421,1238,4659,403,500,121,3794,1101
Thapar Institute of Engineering and Technology,7235,780,8015,523,554,177,7183,352
National Institute of Technology Calicut,3748,913,4661,340,613,101,3924,818
Birla Institute of Technology & Science -Pilani,10241,1286,11527,585,361,147,10139,1285
Indian Institute of Engineering Science and Technology,2424,808,3232,250,809,0,2471,535
Indian Institute of Technology Bhubaneswar,1349,418,1767,150,161,0,1347,334
National Institute of Technology Durgapur,2935,646,3581,237,354,282,2855,509
Visvesvaraya National Institute of Technology,3347,810,4157,268,440,44,3361,581
Amity University,7680,960,8640,585,253,592,6812,722
Siksha `O` Anusandhan,7320,180,7500,596,576,135,7193,205
Jamia Millia Islamia,1400,283,1683,128,317,0,1586,308
S.R.M. Institute of Science and Technology,21455,1675,23130,1486,974,155,20015,702
Aligarh Muslim University,1500,577,2077,222,274,10,1634,584
Delhi Technological University,8642,836,9478,730,526,547,8255,614
Malaviya National Institute of Technology,3078,1825,4903,490,475,296,2850,1117
Shanmugha Arts Science Technology & Research Academy,7480,676,8156,583,389,157,7346,553
Kalinga Institute of Industrial Technology,13800,424,14224,1004,811,0,14352,215
Indian Institute of Space Science and Technology,594,300,894,108,160,50,575,163
