Name,R2019,R2018,R2017,Total Research,C2019,C2018,C2017,Total Consultancy,FPPP
Indian Institute of Technology Madras,3903460211,5223395988,3177083996,12303940195,1715292173,1368492534,1057716173,4141500880,10.0
Indian Institute of Technology Delhi,2275026000,2048965952,5411417468,9735409420,309608826,450796210,270577543,1030982579,8.39
Indian Institute of Technology Bombay,2297748211,2298187443,2035039984,6630975638,596700000,756600000,463600000,1816900000,7.72
Indian Institute of Technology Kanpur,2389745850,1974913396,1747013587,6111672833,310320868,270496071,308824752,889641691,7.63
Indian Institute of Technology Kharagpur,648432016,1349147118,2051250000,4048829134,194969571,277102370,292650000,764721941,4.91
Indian Institute of Technology Roorkee,835612000,555131305,472481642,1863224947,635118627,588518520,404344290,1627981437,5.15
Indian Institute of Technology Guwahati,793500000,808700000,872600000,2474800000,111100000,75300000,86800000,273200000,5.01
Indian Institute of Technology Hyderabad,520361352,545425238,378508962,1444295552,52040519,51035964,42143529,145220012,5.55
National Institute of Technology Tiruchirappalli,361228799,340618446,758331582,1460178827,64898212,35682749,23137317,123718278,3.91
National Institute of Technology Karnataka,284902557,206545593,225859246,717307396,85651056,16493888,49385941,151530885,2.76
Indian Institute of Technology (Indian School of Mines),382124077,244750351,556170511,1183044939,53216216,228258889,214693340,496168445,3.84
Vellore Institute of Technology,92024003,158518885,161972371,412515259,6852170,5389402,8938968,21180540,0.27
Indian Institute of Technology Indore,262000699,139396905,132132636,533530240,9055923,6194343,3107216,18357482,3.68
Indian Institute of Technology (Banaras Hindu University) Varanasi,355988485,161046384,148295017,665329886,151707669,116899811,71427271,340034751,2.43
Institute of Chemical Technology,291750593,266752489,440960720,999463802,57006346,42606235,77338594,176951175,6.05
Amrita Vishwa Vidyapeetham,256034400,248601253,216723224,721358877,43662217,24603048,26980766,95246031,1.42
Jadavpur University,221030068,361427487,303388705,885846260,126122122,206698100,224639409,557459631,2.8
Anna University,359671755,479369557,335737870,1174779182,285794972,303403707,215780896,804979575,2.25
Indian Institute of Technology Ropar,212734321,123107437,87145314,422987072,19094061,11829018,3475941,34399020,2.99
National Institute of Technology Rourkela,157888447,160544286,237896318,556329051,21218609,59838185,30825586,111882380,1.72
Indian Institute of Technology Patna,119236541,80193643,93686943,293117127,31758614,12998327,4804000,49560941,2.94
Indian Institute of Technology Gandhinagar,371864297,315434481,258889582,946188360,39520731,72774406,24064288,136359425,6.51
National Institute of Technology Warangal,204223717,472188470,51200000,727612187,9217748,32725268,26635559,68578575,2.42
Thapar Institute of Engineering and Technology,93013000,91044000,90805768,274862768,26575254,13366325,13146464,53088043,0.8
National Institute of Technology Calicut,97176347,76187139,61624519,234988005,11483798,12493000,10582130,34558928,1.02
Birla Institute of Technology & Science -Pilani,129014862,65001926,53180423,247197211,9805795,6694803,7904502,24405100,0.49
