Name,NT,Full Time Phd,FRU,Annual_Expenditure_per_Student,Operational_Expenditure_per_Student,Annual_Expenditure_2019,Annual_Expenditure_2018,Annual_Expenditure_2017,Operational_Expenditure_2019,Operational_Expenditure_2018,Operational_Expenditure_2017
Indian Institute of Technology Madras,5386,2112,29.09,841830.6979194452,2036477.1629767937,2047556606.0,2231569077.0,2032920890.0,5774144375.0,5032660973.0,4462700420.0
Indian Institute of Technology Delhi,5986,2349,25.39,664153.2164367127,1145737.074625075,2001172518.0,1958340541.0,1576204000.0,3441646091.0,3162179229.0,2945893197.0
Indian Institute of Technology Bombay,5287,1879,21.33,457547.74295283284,996581.2348590567,1599318692.0,1402388197.0,277080237.0,2824991509.0,2436848083.0,1879661537.0
Indian Institute of Technology Kanpur,5366,1742,25.18,375837.0517726505,1082084.7774338773,952269251.0,871986035.0,847194478.0,2734158598.0,2419900000.0,2537400000.0
Indian Institute of Technology Kharagpur,8719,2963,18.1,106921.1366204417,564276.7368601267,451564194.0,337713883.0,459774641.0,2428352879.0,2528685058.0,1634842903.0
Indian Institute of Technology Roorkee,5463,1880,19.58,309520.8881928367,961668.7080212447,883256262.0,815744546.0,573811074.0,2924403004.0,2162453086.0,1974677233.0
Indian Institute of Technology Guwahati,4370,1838,18.68,160184.04977448453,636746.3824097938,338388216.0,343583510.0,312450855.0,1465991533.0,1205135142.0,1281794867.0
Indian Institute of Technology Hyderabad,1614,494,25.5,490335.17599620495,926459.3742884251,565723367.0,264923738.0,202979446.0,752896719.0,645970262.0,554109380.0
National Institute of Technology Tiruchirappalli,4432,649,19.44,311716.7238732533,716741.0143672505,269074832.0,273612730.0,1041145112.0,1119357256.0,1479187428.0,1043216410.0
National Institute of Technology Karnataka,4118,622,17.98,158081.33924050632,675593.7035864979,229103482.0,187388783.0,332813283.0,1152278553.0,1095805461.0,954230141.0
Indian Institute of Technology (Indian School of Mines),5535,602,17.05,106514.23545706371,626434.2546846994,286264037.0,159034432.0,208379394.0,1428518446.0,1255700247.0,1160208328.0
Vellore Institute of Technology,35304,1022,9.65,36614.43888674778,231250.1017453064,616115611.0,335624396.0,378316100.0,3100410165.0,2932591259.0,2367389772.0
Indian Institute of Technology Indore,1445,485,20.84,300185.2,700752.7958549223,164536377.0,266560574.0,148260485.0,477762083.0,451555560.0,423135253.0
Indian Institute of Technology (Banaras Hindu University) Varanasi,5945,1044,16.88,76027.8663614251,695546.8756617542,215786177.0,143245937.0,172326644.0,1961823060.0,1510771064.0,1388582990.0
Institute of Chemical Technology,1628,316,22.57,688385.9691358025,665060.0257201646,364562374.0,806858584.0,166801366.0,454286528.0,469505947.0,369084215.0
Amrita Vishwa Vidyapeetham,10760,265,10.49,50729.14022675737,325466.7422222222,175828387.0,301280438.0,82179946.0,1191207051.0,1182410920.0,1214652862.0
Jadavpur University,6990,1175,8.95,59157.99889773423,286969.0107777097,128158758.0,136020672.0,218845631.0,881065556.0,794201901.0,667834516.0
Anna University,14098,846,10.86,62761.456102783726,429249.74625267665,434023997.0,303658758.0,200224445.0,2329033180.0,2098319143.0,1987355885.0
Indian Institute of Technology Ropar,1516,538,22.54,632256.7697176242,654075.2366114898,500428356.0,505116995.0,293110054.0,558684297.0,417441965.0,367344274.0
National Institute of Technology Rourkela,6039,1183,12.73,64423.34394904459,349861.79271669895,82843946.0,49571079.0,332850365.0,968735756.0,777838079.0,780128032.0
Indian Institute of Technology Patna,1393,432,20.84,494173.82465753425,602406.3610958904,193799918.0,587643258.0,120424054.0,402288277.0,366014328.0,331089004.0
Indian Institute of Technology Gandhinagar,1097,436,24.41,616789.731245923,925241.2028701892,359018521.0,350092642.0,236427495.0,544245684.0,443337932.0,430811148.0
National Institute of Technology Warangal,4659,500,14.28,48325.330296569104,579153.4551269626,122639501.0,59213267.0,67457611.0,967142300.0,1153491995.0,867218380.0
Thapar Institute of Engineering and Technology,8015,554,12.82,42643.28393044696,453338.2179950986,188017850.0,94631450.0,82761000.0,1563401190.0,1307882000.0,1013372000.0
National Institute of Technology Calicut,4661,613,13.47,106481.54171406901,542479.7832764505,233146184.0,210113227.0,118324240.0,1014346167.0,970490551.0,876201659.0
Birla Institute of Technology & Science -Pilani,11527,361,13.36,133558.3020693136,440481.31914535665,819696727.0,459521719.0,308522649.0,1942615168.0,1668194332.0,1625632422.0
Indian Institute of Engineering Science and Technology,3232,809,14.55,139545.98341994555,605674.3006681515,238125660.0,174088339.0,151691320.0,914594860.0,842655521.0,690279468.0
