Name,NT,Full Time Phd,Annual_Expenditure_2019,Annual_Expenditure_2018,Annual_Expenditure_2017,Operational_Expenditure_2019,Operational_Expenditure_2018,Operational_Expenditure_2017
Indian Institute of Technology Madras,5386,2112,2047556606.0,2231569077.0,2032920890.0,5774144375.0,5032660973.0,4462700420.0
Indian Institute of Technology Delhi,5986,2349,2001172518.0,1958340541.0,1576204000.0,3441646091.0,3162179229.0,2945893197.0
Indian Institute of Technology Bombay,5287,1879,1599318692.0,1402388197.0,277080237.0,2824991509.0,2436848083.0,1879661537.0
Indian Institute of Technology Kanpur,5366,1742,952269251.0,871986035.0,847194478.0,2734158598.0,2419900000.0,2537400000.0
Indian Institute of Technology Kharagpur,8719,2963,451564194.0,337713883.0,459774641.0,2428352879.0,2528685058.0,1634842903.0
Indian Institute of Technology Roorkee,5463,1880,883256262.0,815744546.0,573811074.0,2924403004.0,2162453086.0,1974677233.0
Indian Institute of Technology Guwahati,4370,1838,338388216.0,343583510.0,312450855.0,1465991533.0,1205135142.0,1281794867.0
Indian Institute of Technology Hyderabad,1614,494,565723367.0,264923738.0,202979446.0,752896719.0,645970262.0,554109380.0
National Institute of Technology Tiruchirappalli,4432,649,269074832.0,273612730.0,1041145112.0,1119357256.0,1479187428.0,1043216410.0
National Institute of Technology Karnataka,4118,622,229103482.0,187388783.0,332813283.0,1152278553.0,1095805461.0,954230141.0
Indian Institute of Technology (Indian School of Mines),5535,602,286264037.0,159034432.0,208379394.0,1428518446.0,1255700247.0,1160208328.0
Vellore Institute of Technology,35304,1022,616115611.0,335624396.0,378316100.0,3100410165.0,2932591259.0,2367389772.0
Indian Institute of Technology Indore,1445,485,164536377.0,266560574.0,148260485.0,477762083.0,451555560.0,423135253.0
Indian Institute of Technology (Banaras Hindu University) Varanasi,5945,1044,215786177.0,143245937.0,172326644.0,1961823060.0,1510771064.0,1388582990.0
Institute of Chemical Technology,1628,316,364562374.0,806858584.0,166801366.0,454286528.0,469505947.0,369084215.0
Amrita Vishwa Vidyapeetham,10760,265,175828387.0,301280438.0,82179946.0,1191207051.0,1182410920.0,1214652862.0
Jadavpur University,6990,1175,128158758.0,136020672.0,218845631.0,881065556.0,794201901.0,667834516.0
Anna University,14098,846,434023997.0,303658758.0,200224445.0,2329033180.0,2098319143.0,1987355885.0
Indian Institute of Technology Ropar,1516,538,500428356.0,505116995.0,293110054.0,558684297.0,417441965.0,367344274.0
National Institute of Technology Rourkela,6039,1183,82843946.0,49571079.0,332850365.0,968735756.0,777838079.0,780128032.0
Indian Institute of Technology Patna,1393,432,193799918.0,587643258.0,120424054.0,402288277.0,366014328.0,331089004.0
Indian Institute of Technology Gandhinagar,1097,436,359018521.0,350092642.0,236427495.0,544245684.0,443337932.0,430811148.0
National Institute of Technology Warangal,4659,500,122639501.0,59213267.0,67457611.0,967142300.0,1153491995.0,867218380.0
Thapar Institute of Engineering and Technology,8015,554,188017850.0,94631450.0,82761000.0,1563401190.0,1307882000.0,1013372000.0
National Institute of Technology Calicut,4661,613,233146184.0,210113227.0,118324240.0,1014346167.0,970490551.0,876201659.0
Birla Institute of Technology & Science -Pilani,11527,361,819696727.0,459521719.0,308522649.0,1942615168.0,1668194332.0,1625632422.0
Indian Institute of Engineering Science and Technology,3232,809,238125660.0,174088339.0,151691320.0,914594860.0,842655521.0,690279468.0
Indian Institute of Technology Bhubaneswar,1767,161,221021790.0,224858007.0,159058313.0,388758870.0,319646415.0,275226561.0
National Institute of Technology Durgapur,3581,354,91687349.0,127785470.0,132210966.0,934884299.0,927533406.0,613120748.0
Visvesvaraya National Institute of Technology,4157,440,242060778.0,167663000.0,57656000.0,1001940332.0,1048680000.0,857543000.0
Amity University,8640,253,24881876.0,19951411.0,26269123.0,638204035.0,633122231.0,577979146.0
Siksha `O` Anusandhan,7500,576,500488072.0,435070510.0,367560317.0,1144935453.0,1041742757.0,909555129.0
Jamia Millia Islamia,1683,317,13073197.0,12358126.0,8807807.0,390536793.0,327684532.0,324704527.0
S.R.M. Institute of Science and Technology,23130,974,588788983.0,456335600.0,383972952.0,2294826388.0,2029285390.0,1698453000.0
Aligarh Muslim University,2077,274,23823373.0,43420372.0,14800480.0,979799080.0,592013374.0,630694312.0
Delhi Technological University,9478,526,249832074.0,192019132.0,201205378.0,1489317205.0,1032321226.0,857535816.0
Malaviya National Institute of Technology,4903,475,76428965.0,152821105.0,146736485.0,880042163.0,983087929.0,996722490.0
Shanmugha Arts Science Technology & Research Academy,8156,389,286946773.0,262347463.0,180495907.0,838852761.0,852063041.0,667361157.0
Kalinga Institute of Industrial Technology,14224,811,770530532.0,692218522.0,653611349.0,1579523627.0,1374916856.0,1141172548.0
Indian Institute of Space Science and Technology,894,160,110154544.0,123369644.0,91149565.0,324994229.0,298249115.0,265170294.0
Indian Institute of Technology Mandi,1894,258,189603837.0,523073098.0,465260867.0,490646262.0,375719174.0,370670306.0
Motilal Nehru National Institute of Technology,4761,420,117223964.0,94301579.0,80412007.0,912403107.0,896493371.0,861832067.0
Indian Institute of Technology Jodhpur,1310,289,262876588.0,78594819.0,139002611.0,344127389.0,225093764.0,225731251.0
National Institute of Technology Kurukshetra,4472,223,101116509.0,1005265805.0,173792457.0,1005365820.0,980817022.0,826407124.0
Sri Sivasubramaniya Nadar College of Engineering,3816,261,24379312.0,22303236.0,21111035.0,797318248.0,635888677.0,615869680.0
Birla Institute of Technology,3772,236,150699947.0,124842416.0,197522156.0,701367066.0,714046218.0,612654799.0
Sardar Vallabhbhai National Institute of Technology,4281,415,77236310.0,93642558.0,55989370.0,572840034.0,569197542.0,375187910.0
National Institute of Technology Silchar,3327,495,155532909.0,101313871.0,61316019.0,662770128.0,623997545.0,539514546.0
Dr. B. R. Ambedkar National Institute of Technology,4136,339,76928220.0,50965860.0,61607960.0,623718982.0,528366203.0,463408701.0
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),14492,176,120081927.0,180452766.0,172355636.0,1045585927.0,1072780539.0,858177118.0
Manipal Institute of Technology,8542,124,115929721.0,75011727.0,60932711.0,977400923.0,949593392.0,865132212.0
"College of Engineering, Pune",3168,61,81465253.0,23597818.0,55805255.0,503882682.0,473854065.0,443784091.0
PSG College of Technology,6417,147,103964000.0,129843000.0,283091000.0,546010000.0,533062000.0,511800000.0
International Institute of Information Technology Hyderabad,1791,117,66001639.0,41714403.0,95821261.0,344716509.0,338841144.0,259413710.0
Sathyabama Institute of Science and Technology,11730,295,470753256.0,442946611.0,360343500.0,1161054385.0,1120596200.0,1000048000.0
