Name,F2019,F2018,F2017,P2019,P2018,P2017,GPHD,Nphd,ratio,root,model
Indian Institute of Technology Madras,264,265,189,3,4,6,17.32,718,0.024122563,26.79552201,17.47952361
Indian Institute of Technology Delhi,196,209,249,89,98,106,16.64,654,0.025443425,25.57342371,16.62068278
Indian Institute of Technology Bombay,205,204,222,66,41,71,16.39,631,0.025974643,25.11971337,16.30183368
Indian Institute of Technology Kanpur,232,200,186,4,3,0,16.24,618,0.026278317,24.85960579,16.11904068
Indian Institute of Technology Kharagpur,402,345,282,0,0,0,20,1029,0.019436346,32.07802986,20
Indian Institute of Technology Roorkee,235,222,264,14,68,11,17.35,721,0.0240638,26.85144316,17.51882272
Indian Institute of Technology Guwahati,226,205,192,49,25,17,16.29,623,0.026147673,24.95996795,16.18957111
Indian Institute of Technology Hyderabad,46,36,27,6,2,1,6.03,109,0.055321101,10.44030651,5.98574545
National Institute of Technology Tiruchirappalli,117,74,63,43,24,18,10.37,254,0.040826772,15.93737745,9.848862627
National Institute of Technology Karnataka,114,99,101,19,17,23,11.67,314,0.037165605,17.72004515,11.10164875
Indian Institute of Technology (Indian School of Mines),68,96,126,45,52,58,11.17,290,0.038517241,17.02938637,10.61628194
Vellore Institute of Technology,146,159,133,153,123,44,13.84,438,0.031598174,20.92844954,13.35638445
Indian Institute of Technology Indore,77,80,51,1,1,2,9.22,208,0.044326923,14.4222051,8.78406132
Indian Institute of Technology (Banaras Hindu University) Varanasi,115,51,85,0,0,0,10.3,251,0.041035857,15.84297952,9.782523612
Institute of Chemical Technology,82,71,126,4,5,3,10.94,279,0.03921147,16.70329309,10.38711689
Amrita Vishwa Vidyapeetham,10,20,9,18,19,18,2.68,39,0.068717949,6.244997998,3.037453797
Jadavpur University,113,133,158,0,0,0,13.3,404,0.032920792,20.09975124,12.7740091
Anna University,79,103,102,95,66,105,11.05,284,0.038908451,16.85229955,10.49183255
Indian Institute of Technology Ropar,28,24,20,0,0,0,4.42,72,0.061388889,8.485281374,4.61183355
National Institute of Technology Rourkela,114,126,110,0,0,0,12.36,350,0.035314286,18.70828693,11.79614476
Indian Institute of Technology Patna,49,38,13,5,2,2,5.66,100,0.0566,10,5.676316
Indian Institute of Technology Gandhinagar,50,15,12,1,1,0,4.66,77,0.060519481,8.774964387,4.815410953
National Institute of Technology Warangal,81,69,49,10,12,15,8.98,199,0.045125628,14.10673598,8.562362492
Thapar Institute of Engineering and Technology,78,35,28,40,42,45,7.2,141,0.05106383,11.87434209,6.993527146
National Institute of Technology Calicut,75,95,88,14,6,7,10.47,258,0.040581395,16.0623784,9.936708197
Birla Institute of Technology & Science -Pilani,40,24,38,16,9,2,5.75,102,0.056372549,10.09950494,5.746244011
Indian Institute of Engineering Science and Technology,74,88,81,0,0,0,10.11,243,0.041604938,15.58845727,9.603655759
Indian Institute of Technology Bhubaneswar,20,15,5,0,0,0,2.74,40,0.0685,6.32455532,3.093363437
