Name,student,med,ratio,MS
Indian Institute of Technology Madras,2768,3488103000.0,1260152.8179190753,21.1
Indian Institute of Technology Delhi,2506,3452986000.0,1377887.4700718275,21.65
Indian Institute of Technology Bombay,2769,3055520880.0,1103474.4962080172,19.51
Indian Institute of Technology Kanpur,2648,3721247000.0,1405304.758308157,22.0
Indian Institute of Technology Kharagpur,3913,5235480459.0,1337970.983644263,21.37
Indian Institute of Technology Roorkee,2916,4058482400.0,1391797.80521262,21.85
Indian Institute of Technology Guwahati,1933,2713770000.0,1403916.1924469736,22.06
Indian Institute of Technology Hyderabad,671,887400000.0,1322503.7257824142,20.57
National Institute of Technology Tiruchirappalli,2838,2278300000.0,802783.650458069,17.3
National Institute of Technology Karnataka,3127,2522024000.0,806531.4998401024,16.64
Indian Institute of Technology (Indian School of Mines),2988,2431255000.0,813673.0254350737,17.14
Vellore Institute of Technology,11621,6677820000.0,574633.85250839,13.67
Indian Institute of Technology Indore,314,419050000.0,1334554.1401273883,20.62
Indian Institute of Technology (Banaras Hindu University) Varanasi,3082,3804055000.0,1234281.310837119,20.29
Institute of Chemical Technology,632,347600000.0,550000.0,13.8
Amrita Vishwa Vidyapeetham,4601,1881675000.0,408970.87589654425,10.98
Jadavpur University,3602,2849246000.0,791017.7679067185,16.0
Anna University,4589,2307860000.0,502911.3096535193,12.89
Indian Institute of Technology Ropar,359,346065000.0,963969.3593314764,19.02
National Institute of Technology Rourkela,2603,1579195000.0,606682.6738378793,14.68
Indian Institute of Technology Patna,457,492480000.0,1077636.761487965,19.29
Indian Institute of Technology Gandhinagar,367,278323000.0,758373.2970027248,16.04
National Institute of Technology Warangal,2339,1991053759.0,851241.4531851219,17.1
Thapar Institute of Engineering and Technology,3231,2239210000.0,693039.3067161869,15.08
National Institute of Technology Calicut,3099,2556242000.0,824860.2775088738,16.4
Birla Institute of Technology & Science -Pilani,6410,7859172400.0,1226079.937597504,20.15
Indian Institute of Engineering Science and Technology,1109,735995000.0,663656.4472497746,14.72
Indian Institute of Technology Bhubaneswar,590,583510000.0,989000.0,18.56
National Institute of Technology Durgapur,1588,1066800000.0,671788.4130982368,14.96
Visvesvaraya National Institute of Technology,1722,1177254000.0,683655.0522648083,15.05
Amity University,3468,1238756000.0,357196.07843137253,10.18
Siksha `O` Anusandhan,4264,1508355000.0,353741.7917448405,10.24
Jamia Millia Islamia,978,686790000.0,702239.263803681,15.44
S.R.M. Institute of Science and Technology,11439,4078120000.0,356510.1844566833,10.3
Aligarh Muslim University,473,225354000.0,476435.5179704017,12.29
Delhi Technological University,4714,4351300000.0,923058.9732711072,17.3
Malaviya National Institute of Technology,1747,1128375949.0,645893.5025758443,14.86
Shanmugha Arts Science Technology & Research Academy,4881,2140080000.0,438451.1370620775,11.89
Kalinga Institute of Industrial Technology,9250,4200150000.0,454070.2702702703,11.57
Indian Institute of Space Science and Technology,343,304744656.0,888468.3848396501,17.33
Indian Institute of Technology Mandi,392,422590000.0,1078035.7142857143,19.41
Motilal Nehru National Institute of Technology,2186,1927832000.0,881899.3595608417,17.47
Indian Institute of Technology Jodhpur,289,288170000.0,997128.027681661,18.41
National Institute of Technology Kurukshetra,1868,1244525000.0,666233.9400428266,15.23
Sri Sivasubramaniya Nadar College of Engineering,2048,909556000.0,444119.140625,11.84
Birla Institute of Technology,1339,1004673000.0,750315.9073935773,15.98
National Institute of Technology Silchar,1235,766316000.0,620498.7854251012,14.31
Dr. B. R. Ambedkar National Institute of Technology,1624,987924000.0,608327.5862068966,14.14
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),3479,1339755000.0,385097.7292325381,10.39
Manipal Institute of Technology,2595,1600970000.0,616944.1233140655,14.1
"College of Engineering, Pune",2327,1604737000.0,689616.2440911045,15.65
PSG College of Technology,2596,1014464779.0,390779.9610939908,10.9
International Institute of Information Technology Hyderabad,863,1676675000.0,1942844.7276940905,25.0
Sathyabama Institute of Science and Technology,2284,844120000.0,369579.6847635727,10.42
Kalasalingam Academy of Research and Education,2897,1080419000.0,372944.0800828443,10.41
Visvesvaraya Technological University,993,220025000.0,221576.03222557905,8.54
Defence Institute of Advanced Technology,452,486100000.0,1075442.4778761065,18.34
National Institute of Technology Meghalaya,325,165765000.0,510046.1538461539,12.84
Maulana Azad National Institute of Technology,2025,1344400000.0,663901.2345679012,14.84
Chandigarh University,2787,1304546000.0,468082.5260136348,11.89
Jawaharlal Nehru Technological University,1678,697075500.0,415420.4410011919,10.34
"Indraprastha Institute of Information Technology, Delhi",842,1133100000.0,1345724.4655581948,20.73
National Institute of Technology Raipur,1424,1003515000.0,704715.5898876404,15.34
M. S. Ramaiah Institute of Technology,2869,1395940000.0,486559.7769257581,12.35
Lovely Professional University,4751,1826044125.0,384349.4264365397,10.55
Banasthali Vidyapith,1675,760600000.0,454089.552238806,11.89
Pandit Deendayal Petroleum University,1070,392971000.0,367262.61682242993,10.39
National Institute of Technology Srinagar,898,479671000.0,534154.7884187083,13.37
"Punjab Engineering College (Deemed to be University), Chandigarh",1609,1158373000.0,719933.4990677439,15.68
Thiagarajar College of Engineering,2141,824690000.0,385189.16394208313,10.84
National Institute of Technology Patna,1244,755550000.0,607355.305466238,14.23
Indian Institute of Information Technology Guwahati,112,68550000.0,612053.5714285715,14.13
College of Engineering (A),1041,464300000.0,446013.44860710856,11.07
Graphic Era University,1466,533900000.0,364188.2673942701,10.39
International Institute of Information Technology Bangalore,625,1157366356.0,1851786.1696,23.8
R.V. College of Engineering,2656,1974650000.0,743467.6204819278,16.14
Sri Krishna College of Engineering and Technology,3045,1360643000.0,446844.9917898194,11.82
Shri Mata Vaishno Devi University,305,109838000.0,360124.59016393445,10.02
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",575,457683000.0,795970.4347826086,16.43
Indian Institute of Food Processing Technology (IIFPT),90,28372550.0,315250.5555555556,0.31
"Veermata Jijabai Technological Institute,  (VJTI, Mumbai)",2057,1475228200.0,717174.6232377249,15.79
PES University,2523,1576848250.0,624989.397542608,14.31
Manipal University Jaipur,1896,790471000.0,416915.0843881856,11.23
National Institute of Technology Goa,213,123587000.0,580220.6572769952,14.13
"National Institute of Technology, Jamshedpur",1554,995910000.0,640868.7258687259,14.56
Indian Institute of Information Technology Allahabad,1048,1560728400.0,1489244.6564885497,22.18
Netaji Subhas University of Technology (NSUT),1948,2185040000.0,1121683.7782340862,19.29
Panjab University,1128,627499000.0,556293.4397163121,13.49
Kumaraguru College of Technology,2823,1033772000.0,366196.2451292951,10.59
University of Petroleum and Energy Studies,4037,1709240000.0,423393.60911568,11.35
National Institute of Technology Agartala,1086,639039000.0,588433.7016574586,13.83
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,1833,727930000.0,397124.9318057829,10.78
Jaypee Institute of Information Technology,2475,1071387000.0,432883.6363636364,11.54
College of Engineering Trivandrum,1780,791970000.0,444926.9662921349,11.94
Bharati Vidyapeeth Deemed University College of Engineering,2224,792490000.0,356335.4316546763,9.8
The Northcap University,1148,441390000.0,384486.06271777005,10.75
B.M.S. College of Engineering,2323,1573640000.0,677417.1330176496,15.22
National Institute of Technology Hamirpur,1097,669812000.0,610585.2324521422,14.13
"C.V. Raman Global University, Odisha",2530,1003980000.0,396830.0395256917,11.04
Siddaganga Institute of Technology,2219,1009005000.0,454711.5817936007,11.95
Coimbatore Institute of Technology,1251,439128000.0,351021.582733813,10.22
Shoolini University of Biotechnology and Management Sciences,371,118735000.0,320040.4312668464,9.67
Tezpur University,331,114067000.0,344613.29305135953,10.12
Karunya Institute of Technology and Sciences,2052,562210000.0,273981.48148148146,8.72
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,374,406063000.0,1085729.946524064,19.82
Dhirubhai Ambani Institute of Information and Communication Technology,1086,998000000.0,918968.6924493554,19.16
Guru Gobind Singh Indraprastha University,384,195030000.0,507890.625,13.47
Sri Sairam Engineering College,2943,1264814000.0,429770.3024125043,11.6
Rajalakshmi Engineering College,3092,1166980000.0,377419.1461836999,10.63
"Vignan's Foundation for Science, Technology and Research",2201,947829000.0,430635.6201726488,11.52
B. S. Abdur Rahman Crescent Institute of Science and Technology,1936,570965000.0,294919.9380165289,9.11
Chitkara University,2022,840408000.0,415632.0474777448,11.15
National Institute of Technology Manipur,173,98600000.0,569942.1965317919,13.58
National Institute of Foundry and Forge Technology (NIFFT),336,149225000.0,444122.0238095238,11.78
Veer Surendra Sai University of Technology,1734,785292000.0,452878.892733564,10.87
Maharaja Sayajirao University of Baroda,1858,591510000.0,318358.4499461787,9.48
Manav Rachna International Institute of Research & Studies,1735,692310000.0,399025.9365994237,11.04
Shri Ramdeobaba College of Engineering and Management,2344,911200000.0,388737.2013651877,10.93
Punjab Technical University,58,20096000.0,346482.7586206897,8.65
Saveetha Institute of Medical and Technical Sciences,851,317536000.0,373132.7849588719,10.5
Vishwakarma Institute of Technology,2331,1134532000.0,486714.71471471473,12.55
University College of Engingeering,775,302918000.0,390861.93548387097,10.98
Mepco Schlenk Engineering College,1549,542150000.0,350000.0,10.18
"Vels Institute of Science, Technology & Advanced Studies (VISTAS)",958,282870580.0,295272.0041753653,8.92
Dayalbagh Educational Institute,470,182460000.0,388212.7659574468,10.81
YMCA University of Science & Tech (Formerely YMCA Institute of Engineering),1256,455510000.0,362667.1974522293,10.24
Government College of Technology,1547,1064825000.0,688316.0956690368,15.7
Jaypee University of Information Technology,768,309980000.0,403619.7916666667,11.24
G. H. Raisoni College of Engineering,3654,1290360000.0,353136.28899835795,10.12
PSG Institute of Technology and Applied Research,674,317460000.0,471008.90207715135,12.35
Chaitanya Bharathi Institute of Technology,2170,874730000.0,403101.38248847926,11.13
SR University,714,246013000.0,344556.0224089636,10.08
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,2316,840316000.0,362830.7426597582,10.49
The Rashtrasant Tukadoji Maharaj Nagpur University,296,139050000.0,469763.5135135135,12.15
Sri Krishna College of Technology,2502,1015090000.0,405711.43085531576,11.13
NMAM Institute of Technology,1701,709380000.0,417037.037037037,11.35
P E S College of Engineering,1518,580240000.0,382239.7891963109,10.72
Army Institute of Technology,832,496750000.0,597055.2884615385,13.98
New Horizon College of Engineering,3226,2046323436.0,634322.2058276504,14.5
Vardhaman College of Engineering,1865,656854000.0,352200.5361930295,10.26
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,637,407459000.0,639653.0612244898,14.52
Pondicherry Engineering College,1256,543016000.0,432337.5796178344,11.72
National Institute of Technology Puducherry,201,118010000.0,587114.4278606966,13.76
Anurag University,2691,923090000.0,343028.61389817914,10.06
Chandigarh Engineering College,2001,859460000.0,429515.2423788106,11.52
"National Institute of Food Technology, Entrepreneurship & Management",442,227681500.0,515116.51583710406,12.89
Yeshwantrao Chavan College of Engineering,2639,1013640000.0,384100.0378931413,10.84
Dr. Vishwanath Karad MIT World Peace University,2922,1130985000.0,387058.5215605749,10.93
SVKM`s Narsee Monjee Institute of Management Studies,1138,659890000.0,579868.1898066783,11.89
BMS Institute of Technology & Management,1324,484950000.0,366276.4350453172,10.48
Nirma University,2221,986970000.0,444380.9095002251,11.51
"Amity University, Gwalior",407,128160000.0,314889.4348894349,9.41
CVR College Of Engineering,2007,793050000.0,395142.0029895366,10.95
"Government Engineering College, Thrissur",1026,371080000.0,361676.4132553606,10.3
"Jain University, Bangalore",625,287222000.0,459555.2,11.17
Maulana Abul Kalam Azad University of Technology,161,55700000.0,345962.73291925463,9.61
Institute of Aeronautical Engineering,1714,558926000.0,326094.5157526254,9.65
National Institute of Technology Arunachal Pradesh,285,160055000.0,561596.4912280702,13.56
Indira Gandhi Delhi Technical University for Women,816,651900000.0,798897.0588235294,16.14
Sant Longowal Institute of Engineering & Technology,568,178890000.0,314947.1830985916,9.48
"Silicon Institute of Technology (SIT), Bhubaneswar",1136,408950000.0,359991.1971830986,10.33
Kongu Engineering College,3349,998744400.0,298221.6781128695,9.15
Goka Raju Ranga Raju Institute of Engineering & Technology,2526,887850000.0,351484.5605700713,10.15
Annamalai University,500,109215300.0,218430.6,7.32
Rajiv Gandhi Institute of Petroleum Technology,110,78994000.0,718127.2727272727,15.81
Nitte Meenakshi Institute of Technology,2062,782960000.0,379709.0203685742,10.54
Institute of Engineering & Management,1067,366445000.0,343434.8641049672,10.12
R.M.K. Engineering College,1721,693350000.0,402876.23474724,11.07
Noida Institute of Engineering & Technology,3112,1220879300.0,392313.3997429306,10.93
Hindustan Institute of Technology and Science (HITS),1875,574212000.0,306246.4,9.17
Dr. D. Y. Patil Institute of Technology,2094,1062410000.0,507359.12129894935,12.89
Guru Nanak Dev University,1234,455794000.0,369363.0470016208,10.54
Sri Ramakrishna Engineering College,2017,812172000.0,402663.3614278632,11.16
KIET Group of Institutions,2268,854710700.0,376856.569664903,10.66
Galgotias University,2518,842973000.0,334778.7926926132,9.83
Velagapudi Ramakrishna Siddhartha Engineering College,2035,755713000.0,371357.7395577396,10.65
Sharda University,1006,352280000.0,350178.9264413519,10.06
KLE Technological University,2292,983086000.0,428920.5933682374,11.67
Shri G. S. Institute of Technology & Science,1571,778305637.0,495420.520050923,12.97
North Eastern Regional Institute of Science & Technology,319,129930000.0,407304.0752351097,10.98
St. Josephs College of Engineering,2791,1012914435.0,362921.6893586528,10.39
Lakshmi Narain College of Technology,2500,888925000.0,355570.0,10.33
Centurion  University  of Technology and Management,1699,515290000.0,303290.1706886404,9.25
Rabindranath Tagore University,531,241042000.0,453939.736346516,10.13
National Institute of Technology Uttarakhand,296,176582000.0,596560.8108108108,13.98
JSS Science and Technology University,1779,840996000.0,472735.2445193929,11.88
Easwari Engineering College,2487,1120326000.0,450472.85886610375,11.99
International Institute of Information Technology Bhubaneswar,566,208060000.0,367597.1731448763,10.42
National Engineering College,1147,297324000.0,259218.83173496075,8.18
Sona College of Technology,2382,658010000.0,276242.65323257766,8.36
C M R Institute of Technology,1879,740358000.0,394017.0303352847,10.91
G.L.Bajaj Institute of Technology and Management,1737,619030000.0,356378.8140472078,10.3
DIT University,1737,651305000.0,374959.7006332758,10.48
The National Institute of Engineering,1799,785210000.0,436470.2612562535,11.75
K. J. Somaiya College of Engineering,1500,670015000.0,446676.6666666667,11.76
Kakatiya Institute of Technology & Science,1482,537650000.0,362786.7746288799,10.33
Walchand College of Engineering,1159,573880000.0,495150.99223468505,12.65
Sri Venkateswara University,394,146100000.0,370812.18274111673,10.02
