Name,Intake,Outside State,Outside Country
Indian Institute of Technology Madras,5849,4855,37
Indian Institute of Technology Delhi,6165,5771,52
Indian Institute of Technology Bombay,5917,4233,44
Indian Institute of Technology Kanpur,5266,3963,10
Indian Institute of Technology Kharagpur,8679,7345,25
Indian Institute of Technology Roorkee,5307,4953,149
Indian Institute of Technology Guwahati,4257,4011,10
Indian Institute of Technology Hyderabad,1576,1029,10
National Institute of Technology Tiruchirappalli,4647,2863,124
National Institute of Technology Karnataka,4473,2866,52
Indian Institute of Technology (Indian School of Mines),4651,4181,24
Vellore Institute of Technology,31870,24511,1467
Indian Institute of Technology Indore,1178,966,2
Indian Institute of Technology (Banaras Hindu University) Varanasi,5509,4024,2
Institute of Chemical Technology,1580,414,0
Amrita Vishwa Vidyapeetham,10106,5676,49
Jadavpur University,6253,944,49
Anna University,13175,188,192
Indian Institute of Technology Ropar,1463,1352,1
National Institute of Technology Rourkela,5463,3001,310
Indian Institute of Technology Patna,1194,867,0
Indian Institute of Technology Gandhinagar,1063,884,6
National Institute of Technology Warangal,4895,2467,493
Thapar Institute of Engineering and Technology,7535,4271,133
National Institute of Technology Calicut,4742,2616,33
Birla Institute of Technology & Science -Pilani,11424,9632,281
Indian Institute of Engineering Science and Technology,3006,1440,35
Indian Institute of Technology Bhubaneswar,1681,1532,1
National Institute of Technology Durgapur,3364,1850,103
Visvesvaraya National Institute of Technology,3942,1974,142
Amity University,7534,4783,17
Siksha `O` Anusandhan,7398,4072,91
Jamia Millia Islamia,1894,1214,44
S.R.M. Institute of Science and Technology,20717,16529,455
Aligarh Muslim University,2218,473,38
Delhi Technological University,8869,5601,573
Malaviya National Institute of Technology,3967,2033,30
Shanmugha Arts Science Technology & Research Academy,7899,3296,4
Kalinga Institute of Industrial Technology,14567,13410,961
Indian Institute of Space Science and Technology,738,631,0
Indian Institute of Technology Mandi,1677,1544,15
Motilal Nehru National Institute of Technology,4443,2301,55
Indian Institute of Technology Jodhpur,1278,989,1
National Institute of Technology Kurukshetra,4226,2371,82
Sri Sivasubramaniya Nadar College of Engineering,4102,477,59
Birla Institute of Technology,2935,1485,68
Sardar Vallabhbhai National Institute of Technology,3974,2036,223
National Institute of Technology Silchar,3102,1628,42
Dr. B. R. Ambedkar National Institute of Technology,3729,2145,29
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),14251,5233,319
Manipal Institute of Technology,9188,6696,151
"College of Engineering, Pune",3724,354,211
PSG College of Technology,6459,328,0
International Institute of Information Technology Hyderabad,1524,1139,122
Sathyabama Institute of Science and Technology,9314,7887,85
Kalasalingam Academy of Research and Education,4284,2590,11
Visvesvaraya Technological University,1433,113,0
Defence Institute of Advanced Technology,439,278,2
National Institute of Technology Meghalaya,703,379,24
Maulana Azad National Institute of Technology,4183,2055,177
Chandigarh University,13306,11583,334
Jawaharlal Nehru Technological University,6024,221,190
"Indraprastha Institute of Information Technology, Delhi",1937,655,90
National Institute of Technology Raipur,3661,1822,12
M. S. Ramaiah Institute of Technology,4781,1303,227
Lovely Professional University,17649,16128,548
Banasthali Vidyapith,3475,3090,159
Pandit Deendayal Petroleum University,3491,335,101
National Institute of Technology Srinagar,2464,1267,11
"Punjab Engineering College (Deemed to be University), Chandigarh",3073,1669,102
Thiagarajar College of Engineering,3698,71,0
National Institute of Technology Patna,2611,1158,5
Indian Institute of Information Technology Guwahati,592,520,0
College of Engineering (A),2867,31,94
Graphic Era University,3712,2377,17
International Institute of Information Technology Bangalore,848,764,9
R.V. College of Engineering,5360,1356,16
Sri Krishna College of Engineering and Technology,4731,182,17
Shri Mata Vaishno Devi University,873,330,0
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",1239,1067,9
Indian Institute of Food Processing Technology (IIFPT),296,99,0
"Veermata Jijabai Technological Institute,  (VJTI, Mumbai)",3395,464,30
PES University,5791,944,65
Manipal University Jaipur,4426,3692,53
National Institute of Technology Goa,553,384,26
"National Institute of Technology, Jamshedpur",2909,1507,65
Indian Institute of Information Technology Allahabad,1685,1211,27
Netaji Subhas University of Technology (NSUT),4309,775,122
Panjab University,3276,2377,9
Kumaraguru College of Technology,5471,202,0
University of Petroleum and Energy Studies,6427,5580,23
National Institute of Technology Agartala,3180,1761,3
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,8078,6928,201
