Name,,MS,median,
International Institute of Information Technology Hyderabad,,25,2115000,253370.3333
International Institute of Information Technology Bangalore,,23.8,1861629.667,297296.3333
Indian Institute of Information Technology Allahabad,,22.18,1564333.333,21000
Indian Institute of Technology Guwahati,,22.06,1543333.333,10000
Indian Institute of Technology Kanpur,,22,1533333.333,25033.33333
Indian Institute of Technology Roorkee,,21.85,1508300,32966.66667
Indian Institute of Technology Delhi,,21.65,1475333.333,43647
Indian Institute of Technology Kharagpur,,21.37,1431686.333,43019.66667
Indian Institute of Technology Madras,,21.1,1388666.667,55333.33333
"Indraprastha Institute of Information Technology, Delhi",,20.73,1333333.333,16666.66667
Indian Institute of Technology Indore,,20.62,1316666.667,6666.666667
Indian Institute of Technology Hyderabad,,20.57,1310000,40666.66667
Indian Institute of Technology (Banaras Hindu University) Varanasi,,20.29,1269333.333,19333.33333
Birla Institute of Technology & Science -Pilani,,20.15,1250000,1250000
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,,19.82,0,-1163133.333
Indian Institute of Technology Bombay,,19.51,1163133.333,13133.33333
Indian Institute of Technology Mandi,,19.41,1150000,16666.66667
Indian Institute of Technology Patna,,19.29,1133333.333,0
Netaji Subhas University of Technology (NSUT),,19.29,1133333.333,16666.66667
Dhirubhai Ambani Institute of Information and Communication Technology,,19.16,1116666.667,16666.66667
Indian Institute of Technology Ropar,,19.02,1100000,56666.66667
Indian Institute of Technology Bhubaneswar,,18.56,1043333.333,18333.33333
Indian Institute of Technology Jodhpur,,18.41,1025000,8333.333333
Defence Institute of Advanced Technology,,18.34,1016666.667,98666.66667
Motilal Nehru National Institute of Technology,,17.47,918000,14788
Indian Institute of Space Science and Technology,,17.33,903212,3212
National Institute of Technology Tiruchirappalli,,17.3,900000,0
Delhi Technological University,,17.3,900000,16666.66667
Indian Institute of Technology (Indian School of Mines),,17.14,883333.3333,3891.666667
National Institute of Technology Warangal,,17.1,879441.6667,47441.66667
National Institute of Technology Karnataka,,16.64,832000,20666.66667
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",,16.43,811333.3333,3666.666667
National Institute of Technology Calicut,,16.4,807666.6667,24333.33333
R.V. College of Engineering,,16.14,783333.3333,0
Indira Gandhi Delhi Technical University for Women,,16.14,783333.3333,9500
Indian Institute of Technology Gandhinagar,,16.04,773833.3333,3833.333333
Jadavpur University,,16,770000,2333.333333
Birla Institute of Technology,,15.98,767666.6667,15666.66667
Rajiv Gandhi Institute of Petroleum Technology,,15.81,752000,1933.333333
"Veermata Jijabai Technological Institute,  (VJTI, Mumbai)",,15.79,750066.6667,8400
Government College of Technology,,15.7,741666.6667,1333.333333
"Punjab Engineering College (Deemed to be University), Chandigarh",,15.68,740333.3333,3000
"College of Engineering, Pune",,15.65,737333.3333,19000
Jamia Millia Islamia,,15.44,718333.3333,8333.333333
National Institute of Technology Raipur,,15.34,710000,10000
National Institute of Technology Kurukshetra,,15.23,700000,1333.333333
B.M.S. College of Engineering,,15.22,698666.6667,12000
Thapar Institute of Engineering and Technology,,15.08,686666.6667,2333.333333
Visvesvaraya National Institute of Technology,,15.05,684333.3333,7666.666667
National Institute of Technology Durgapur,,14.96,676666.6667,8333.333333
Malaviya National Institute of Technology,,14.86,668333.3333,1666.666667
Maulana Azad National Institute of Technology,,14.84,666666.6667,10000
Indian Institute of Engineering Science and Technology,,14.72,656666.6667,3666.666667
National Institute of Technology Rourkela,,14.68,653000,9666.666667
"National Institute of Technology, Jamshedpur",,14.56,643333.3333,3333.333333
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,,14.52,640000,1666.666667
New Horizon College of Engineering,,14.5,638333.3333,15000
National Institute of Technology Silchar,,14.31,623333.3333,0
PES University,,14.31,623333.3333,6666.666667
National Institute of Technology Patna,,14.23,616666.6667,7333.333333
Dr. B. R. Ambedkar National Institute of Technology,,14.14,609333.3333,1000
Indian Institute of Information Technology Guwahati,,14.13,608333.3333,-666.6666667
National Institute of Technology Goa,,14.13,609000,0
National Institute of Technology Hamirpur,,14.13,609000,2333.333333
Manipal Institute of Technology,,14.1,606666.6667,10000
Army Institute of Technology,,13.98,596666.6667,-333.3333333
National Institute of Technology Uttarakhand,,13.98,597000,11666.66667
National Institute of Technology Agartala,,13.83,585333.3333,2000
Institute of Chemical Technology,,13.8,583333.3333,3333.333333
National Institute of Technology Puducherry,,13.76,580000,6666.666667
Vellore Institute of Technology,,13.67,573333.3333,6666.666667
National Institute of Technology Manipur,,13.58,566666.6667,1666.666667
National Institute of Technology Arunachal Pradesh,,13.56,565000,5000
Panjab University,,13.49,560000,1666.666667
Guru Gobind Singh Indraprastha University,,13.47,558333.3333,7333.333333
National Institute of Technology Srinagar,,13.37,551000,28929
Shri G. S. Institute of Technology & Science,,12.97,522071,5404.333333
Anna University,,12.89,516666.6667,-166.6666667
"National Institute of Food Technology, Entrepreneurship & Management",,12.89,516833.3333,166.6666667
Dr. D. Y. Patil Institute of Technology,,12.89,516666.6667,3333.333333
National Institute of Technology Meghalaya,,12.84,513333.3333,13333.33333
Walchand College of Engineering,,12.65,500000,7000
Vishwakarma Institute of Technology,,12.55,493000,13000
M. S. Ramaiah Institute of Technology,,12.35,480000,0
PSG Institute of Technology and Applied Research,,12.35,480000,4000
Aligarh Muslim University,,12.29,476000,9333.333333
The Rashtrasant Tukadoji Maharaj Nagpur University,,12.15,466666.6667,10000
Easwari Engineering College,,11.99,456666.6667,3000
Siddaganga Institute of Technology,,11.95,453666.6667,333.3333333
College of Engineering Trivandrum,,11.94,453333.3333,3333.333333
Shanmugha Arts Science Technology & Research Academy,,11.89,450000,0
Chandigarh University,,11.89,450000,0
Banasthali Vidyapith,,11.89,450000,0
SVKM`s Narsee Monjee Institute of Management Studies,,11.89,450000,666.6666667
JSS Science and Technology University,,11.88,449333.3333,2666.666667
Sri Sivasubramaniya Nadar College of Engineering,,11.84,446666.6667,1000
Sri Krishna College of Engineering and Technology,,11.82,445666.6667,2333.333333
National Institute of Foundry and Forge Technology (NIFFT),,11.78,443333.3333,1666.666667
K. J. Somaiya College of Engineering,,11.76,441666.6667,666.6666667
The National Institute of Engineering,,11.75,441000,1666.666667
Pondicherry Engineering College,,11.72,439333.3333,3333.333333
KLE Technological University,,11.67,436000,4000
Sri Sairam Engineering College,,11.6,432000,2000
Kalinga Institute of Industrial Technology,,11.57,430000,1666.666667
Jaypee Institute of Information Technology,,11.54,428333.3333,1333.333333
"Vignan's Foundation for Science, Technology and Research",,11.52,427000,0
Chandigarh Engineering College,,11.52,427000,333.3333333
Nirma University,,11.51,426666.6667,10000
University of Petroleum and Energy Studies,,11.35,416666.6667,0
NMAM Institute of Technology,,11.35,416666.6667,6666.666667
Jaypee University of Information Technology,,11.24,410000,333.3333333
Manipal University Jaipur,,11.23,409666.6667,3666.666667
"Jain University, Bangalore",,11.17,406000,666.6666667
Sri Ramakrishna Engineering College,,11.16,405333.3333,666.6666667
Chitkara University,,11.15,404666.6667,1333.333333
Chaitanya Bharathi Institute of Technology,,11.13,403333.3333,0
Sri Krishna College of Technology,,11.13,403333.3333,3333.333333
College of Engineering (A),,11.07,400000,0
R.M.K. Engineering College,,11.07,400000,1666.666667
"C.V. Raman Global University, Odisha",,11.04,398333.3333,0
Manav Rachna International Institute of Research & Studies,,11.04,398333.3333,3333.333333
Amrita Vishwa Vidyapeetham,,10.98,395000,333.3333333
University College of Engingeering,,10.98,394666.6667,-333.3333333
North Eastern Regional Institute of Science & Technology,,10.98,395000,1666.666667
CVR College Of Engineering,,10.95,393333.3333,1666.666667
Shri Ramdeobaba College of Engineering and Management,,10.93,391666.6667,0
Dr. Vishwanath Karad MIT World Peace University,,10.93,391666.6667,-33.33333333
Noida Institute of Engineering & Technology,,10.93,391700,700
C M R Institute of Technology,,10.91,391000,1000
PSG College of Technology,,10.9,390000,1333.333333
Veer Surendra Sai University of Technology,,10.87,388666.6667,2000
Thiagarajar College of Engineering,,10.84,386666.6667,0
Yeshwantrao Chavan College of Engineering,,10.84,386666.6667,1666.666667
Dayalbagh Educational Institute,,10.81,385000,1666.666667
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,,10.78,383333.3333,1666.666667
The Northcap University,,10.75,381666.6667,1666.666667
P E S College of Engineering,,10.72,380000,3333.333333
KIET Group of Institutions,,10.66,376666.6667,1000
Velagapudi Ramakrishna Siddhartha Engineering College,,10.65,375666.6667,666.6666667
Rajalakshmi Engineering College,,10.63,375000,2333.333333
Kumaraguru College of Technology,,10.59,372666.6667,2333.333333
Lovely Professional University,,10.55,370333.3333,333.3333333
Nitte Meenakshi Institute of Technology,,10.54,370000,0
Guru Nanak Dev University,,10.54,370000,2666.666667
Saveetha Institute of Medical and Technical Sciences,,10.5,367333.3333,333.3333333
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,,10.49,367000,333.3333333
BMS Institute of Technology & Management,,10.48,366666.6667,0
DIT University,,10.48,366666.6667,3333.333333
Sathyabama Institute of Science and Technology,,10.42,363333.3333,0
International Institute of Information Technology Bhubaneswar,,10.42,363333.3333,666.6666667
Kalasalingam Academy of Research and Education,,10.41,362666.6667,1000
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),,10.39,361666.6667,0
Pandit Deendayal Petroleum University,,10.39,361666.6667,0
Graphic Era University,,10.39,361666.6667,4.666666666
St. Josephs College of Engineering,,10.39,361662,2995.333333
Jawaharlal Nehru Technological University,,10.34,358666.6667,333.3333333
"Silicon Institute of Technology (SIT), Bhubaneswar",,10.33,358333.3333,0
Lakshmi Narain College of Technology,,10.33,358333.3333,333.3333333
Kakatiya Institute of Technology & Science,,10.33,358000,1333.333333
S.R.M. Institute of Science and Technology,,10.3,356666.6667,0
"Government Engineering College, Thrissur",,10.3,356666.6667,0
G.L.Bajaj Institute of Technology and Management,,10.3,356666.6667,2333.333333
Vardhaman College of Engineering,,10.26,354333.3333,1000
Siksha `O` Anusandhan,,10.24,353333.3333,0
YMCA University of Science & Tech (Formerely YMCA Institute of Engineering),,10.24,353333.3333,1333.333333
Coimbatore Institute of Technology,,10.22,352000,2000
Amity University,,10.18,350000,0
Mepco Schlenk Engineering College,,10.18,350000,1666.666667
Goka Raju Ranga Raju Institute of Engineering & Technology,,10.15,348333.3333,1000
Rabindranath Tagore University,,10.13,347333.3333,666.6666667
Tezpur University,,10.12,346666.6667,0
G. H. Raisoni College of Engineering,,10.12,346666.6667,-333.3333333
Institute of Engineering & Management,,10.12,347000,2333.333333
SR University,,10.08,344666.6667,1333.333333
Anurag University,,10.06,343333.3333,0
Sharda University,,10.06,343333.3333,1666.666667
Shri Mata Vaishno Devi University,,10.02,341666.6667,0
Sri Venkateswara University,,10.02,341666.6667,10000
Galgotias University,,9.83,331666.6667,1666.666667
Bharati Vidyapeeth Deemed University College of Engineering,,9.8,330000,6666.666667
Shoolini University of Biotechnology and Management Sciences,,9.67,323333.3333,1000
Institute of Aeronautical Engineering,,9.65,322333.3333,2333.333333
Maulana Abul Kalam Azad University of Technology,,9.61,320000,6666.666667
Maharaja Sayajirao University of Baroda,,9.48,313333.3333,0
Sant Longowal Institute of Engineering & Technology,,9.48,313333.3333,3166.666667
"Amity University, Gwalior",,9.41,310166.6667,8166.666667
Centurion  University  of Technology and Management,,9.25,302000,3666.666667
Hindustan Institute of Technology and Science (HITS),,9.17,298333.3333,1133.333333
Kongu Engineering College,,9.15,297200,2200
