Name,median
Indian Institute of Technology Madras,1388666.6666666667
Indian Institute of Technology Delhi,1475333.3333333333
Indian Institute of Technology Bombay,1163133.3333333333
Indian Institute of Technology Kanpur,1533333.3333333333
Indian Institute of Technology Kharagpur,1431686.3333333333
Indian Institute of Technology Roorkee,1508300.0
Indian Institute of Technology Guwahati,1543333.3333333333
Indian Institute of Technology Hyderabad,1310000.0
National Institute of Technology Tiruchirappalli,900000.0
National Institute of Technology Karnataka,832000.0
Indian Institute of Technology (Indian School of Mines),883333.3333333334
Vellore Institute of Technology,573333.3333333334
Indian Institute of Technology Indore,1316666.6666666667
Indian Institute of Technology (Banaras Hindu University) Varanasi,1269333.3333333333
Institute of Chemical Technology,583333.3333333334
Amrita Vishwa Vidyapeetham,395000.0
Jadavpur University,770000.0
Anna University,516666.6666666667
Indian Institute of Technology Ropar,1100000.0
National Institute of Technology Rourkela,653000.0
Indian Institute of Technology Patna,1133333.3333333333
Indian Institute of Technology Gandhinagar,773833.3333333334
National Institute of Technology Warangal,879441.6666666666
Thapar Institute of Engineering and Technology,686666.6666666666
National Institute of Technology Calicut,807666.6666666666
Birla Institute of Technology & Science -Pilani,1250000.0
Indian Institute of Engineering Science and Technology,656666.6666666666
Indian Institute of Technology Bhubaneswar,1043333.3333333334
National Institute of Technology Durgapur,676666.6666666666
Visvesvaraya National Institute of Technology,684333.3333333334
Amity University,350000.0
Siksha `O` Anusandhan,353333.3333333333
Jamia Millia Islamia,718333.3333333334
S.R.M. Institute of Science and Technology,356666.6666666667
Aligarh Muslim University,476000.0
Delhi Technological University,900000.0
Malaviya National Institute of Technology,668333.3333333334
Shanmugha Arts Science Technology & Research Academy,450000.0
Kalinga Institute of Industrial Technology,430000.0
Indian Institute of Space Science and Technology,903212.0
Indian Institute of Technology Mandi,1150000.0
Motilal Nehru National Institute of Technology,918000.0
Indian Institute of Technology Jodhpur,1025000.0
National Institute of Technology Kurukshetra,700000.0
Sri Sivasubramaniya Nadar College of Engineering,446666.6666666667
Birla Institute of Technology,767666.6666666666
Sardar Vallabhbhai National Institute of Technology,694666.6666666666
National Institute of Technology Silchar,623333.3333333334
Dr. B. R. Ambedkar National Institute of Technology,609333.3333333334
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),361666.6666666667
Manipal Institute of Technology,606666.6666666666
"College of Engineering, Pune",737333.3333333334
PSG College of Technology,390000.0
International Institute of Information Technology Hyderabad,2115000.0
Sathyabama Institute of Science and Technology,363333.3333333333
Kalasalingam Academy of Research and Education,362666.6666666667
Visvesvaraya Technological University,268333.3333333333
Defence Institute of Advanced Technology,1016666.6666666666
National Institute of Technology Meghalaya,513333.3333333333
Maulana Azad National Institute of Technology,666666.6666666666
Chandigarh University,450000.0
Jawaharlal Nehru Technological University,358666.6666666667
"Indraprastha Institute of Information Technology, Delhi",1333333.3333333333
National Institute of Technology Raipur,710000.0
M. S. Ramaiah Institute of Technology,480000.0
Lovely Professional University,370333.3333333333
Banasthali Vidyapith,450000.0
Pandit Deendayal Petroleum University,361666.6666666667
National Institute of Technology Srinagar,551000.0
"Punjab Engineering College (Deemed to be University), Chandigarh",740333.3333333334
Thiagarajar College of Engineering,386666.6666666667
National Institute of Technology Patna,616666.6666666666
Indian Institute of Information Technology Guwahati,608333.3333333334
College of Engineering (A),400000.0
Graphic Era University,361666.6666666667
International Institute of Information Technology Bangalore,1861629.6666666667
R.V. College of Engineering,783333.3333333334
Sri Krishna College of Engineering and Technology,445666.6666666667
Shri Mata Vaishno Devi University,341666.6666666667
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",811333.3333333334
Indian Institute of Food Processing Technology (IIFPT),257666.66666666666
"Veermata Jijabai Technological Institute,  (VJTI, Mumbai)",750066.6666666666
PES University,623333.3333333334
Manipal University Jaipur,409666.6666666667
National Institute of Technology Goa,609000.0
"National Institute of Technology, Jamshedpur",643333.3333333334
Indian Institute of Information Technology Allahabad,1564333.3333333333
Netaji Subhas University of Technology (NSUT),1133333.3333333333
Panjab University,560000.0
Kumaraguru College of Technology,372666.6666666667
University of Petroleum and Energy Studies,416666.6666666667
National Institute of Technology Agartala,585333.3333333334
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,383333.3333333333
Jaypee Institute of Information Technology,428333.3333333333
College of Engineering Trivandrum,453333.3333333333
Bharati Vidyapeeth Deemed University College of Engineering,330000.0
The Northcap University,381666.6666666667
B.M.S. College of Engineering,698666.6666666666
National Institute of Technology Hamirpur,609000.0
"C.V. Raman Global University, Odisha",398333.3333333333
Siddaganga Institute of Technology,453666.6666666667
Coimbatore Institute of Technology,352000.0
Shoolini University of Biotechnology and Management Sciences,323333.3333333333
Tezpur University,346666.6666666667
Karunya Institute of Technology and Sciences,276666.6666666667
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,0.0
Dhirubhai Ambani Institute of Information and Communication Technology,1116666.6666666667
Guru Gobind Singh Indraprastha University,558333.3333333334
Sri Sairam Engineering College,432000.0
Rajalakshmi Engineering College,375000.0
"Vignan's Foundation for Science, Technology and Research",427000.0
B. S. Abdur Rahman Crescent Institute of Science and Technology,295000.0
Chitkara University,404666.6666666667
National Institute of Technology Manipur,566666.6666666666
National Institute of Foundry and Forge Technology (NIFFT),443333.3333333333
Veer Surendra Sai University of Technology,388666.6666666667
Maharaja Sayajirao University of Baroda,313333.3333333333
Manav Rachna International Institute of Research & Studies,398333.3333333333
Shri Ramdeobaba College of Engineering and Management,391666.6666666667
Punjab Technical University,123000.0
Saveetha Institute of Medical and Technical Sciences,367333.3333333333
Vishwakarma Institute of Technology,493000.0
University College of Engingeering,394666.6666666667
Mepco Schlenk Engineering College,350000.0
"Vels Institute of Science, Technology & Advanced Studies (VISTAS)",286143.3333333333
Dayalbagh Educational Institute,385000.0
YMCA University of Science & Tech (Formerely YMCA Institute of Engineering),353333.3333333333
Government College of Technology,741666.6666666666
Jaypee University of Information Technology,410000.0
G. H. Raisoni College of Engineering,346666.6666666667
PSG Institute of Technology and Applied Research,480000.0
University College of Engineering,441666.6666666667
Chaitanya Bharathi Institute of Technology,403333.3333333333
SR University,344666.6666666667
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,367000.0
The Rashtrasant Tukadoji Maharaj Nagpur University,466666.6666666667
Sri Krishna College of Technology,403333.3333333333
NMAM Institute of Technology,416666.6666666667
P E S College of Engineering,380000.0
Army Institute of Technology,596666.6666666666
New Horizon College of Engineering,638333.3333333334
Vardhaman College of Engineering,354333.3333333333
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,640000.0
Pondicherry Engineering College,439333.3333333333
National Institute of Technology Puducherry,580000.0
Anurag University,343333.3333333333
Chandigarh Engineering College,427000.0
"National Institute of Food Technology, Entrepreneurship & Management",516833.3333333333
Yeshwantrao Chavan College of Engineering,386666.6666666667
Dr. Vishwanath Karad MIT World Peace University,391666.6666666667
SVKM`s Narsee Monjee Institute of Management Studies,450000.0
BMS Institute of Technology & Management,366666.6666666667
Nirma University,426666.6666666667
"Amity University, Gwalior",310166.6666666667
CVR College Of Engineering,393333.3333333333
"Government Engineering College, Thrissur",356666.6666666667
