Name,Intake,Outside State,Outside Country,RD,,Intake
Kalinga Institute of Industrial Technology,14567,13410,961,25.61,23.34420265,14567
Army Institute of Technology,1314,1284,0,25,24.42922374,1314
Indian Institute of Technology Delhi,6165,5771,52,24.21,23.44444444,6165
Lovely Professional University,17649,16128,548,24.17,23.00073659,17649
Indian Institute of Technology Roorkee,5307,4953,149,24.05,23.47277181,5307
Indian Institute of Technology Guwahati,4257,4011,10,23.55,23.56706601,4257
Banasthali Vidyapith,3475,3090,159,23.18,22.45899281,3475
Chandigarh University,13306,11583,334,23.05,21.8882459,13306
Indian Institute of Technology Ropar,1463,1352,1,22.84,23.10663021,1463
Indian Institute of Technology Bhubaneswar,1681,1532,1,22.2,22.78703153,1681
Birla Institute of Technology & Science -Pilani,11424,9632,281,22.14,21.20141807,11424
Bharati Vidyapeeth Deemed University College of Engineering,3311,2913,10,21.77,22.00996678,3311
Indian Institute of Technology Kharagpur,8679,7345,25,21.64,21.17179399,8679
Indian Institute of Technology Madras,5849,4855,37,21.43,20.78303984,5849
International Institute of Information Technology Bangalore,848,764,9,21.32,22.57665094,848
Indian Institute of Technology Mandi,1677,1544,15,21.1,23.0620155,1677
Indian Institute of Technology Gandhinagar,1063,884,6,20.79,20.81843838,1063
University of Petroleum and Energy Studies,6427,5580,23,19.8,21.723199,6427
Indian Institute of Technology (Indian School of Mines),4651,4181,24,19.46,22.49946248,4651
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,8078,6928,201,19.38,21.56536271,8078
Indian Institute of Technology Jodhpur,1278,989,1,19.34,19.35054773,1278
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,794,685,0,19.3,21.56801008,794
"National Institute of Food Technology, Entrepreneurship & Management",761,660,0,19.21,21.68199737,761
Indian Institute of Information Technology Guwahati,592,520,0,19.2,21.95945946,592
Manipal Institute of Technology,9188,6696,151,19.16,18.30158903,9188
Vellore Institute of Technology,31870,24511,1467,19.06,19.45748353,31870
Indian Institute of Technology Kanpur,5266,3963,10,18.95,18.82358526,5266
S.R.M. Institute of Science and Technology,20717,16529,455,18.9,20.05599266,20717
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",1239,1067,9,18.84,21.56577885,1239
Manipal University Jaipur,4426,3692,53,18.79,20.91391776,4426
Indian Institute of Technology Bombay,5917,4233,44,18.53,17.9220889,5917
International Institute of Information Technology Hyderabad,1524,1139,122,18.39,19.08464567,1524
National Institute of Technology Puducherry,877,569,67,18.29,16.60205245,877
Indian Institute of Space Science and Technology,738,631,0,18.06,21.37533875,738
Saveetha Institute of Medical and Technical Sciences,5061,3766,1,18.05,18.60403082,5061
Rabindranath Tagore University,1453,1073,11,17.89,18.49965588,1453
Chandigarh Engineering College,5611,3911,0,17.83,17.42559259,5611
Indian Institute of Information Technology Allahabad,1685,1211,27,17.74,18.04747774,1685
Sant Longowal Institute of Engineering & Technology,2335,1782,0,17.66,19.07922912,2335
Sathyabama Institute of Science and Technology,9314,7887,85,17.43,21.2153747,9314
Institute of Engineering & Management,2992,1750,232,17.38,15.01002674,2992
Indian Institute of Technology (Banaras Hindu University) Varanasi,5509,4024,2,17.33,18.26284262,5509
Indian Institute of Technology Indore,1178,966,2,17.15,20.50933786,1178
Jamia Millia Islamia,1894,1214,44,17.12,16.14044351,1894
Delhi Technological University,8869,5601,573,17,16.11117375,8869
National Institute of Technology Karnataka,4473,2866,52,16.76,16.07645875,4473
National Institute of Technology Tiruchirappalli,4647,2863,124,16.59,15.53582957,4647
Indian Institute of Technology Hyderabad,1576,1029,10,16.5,16.35469543,1576
Graphic Era University,3712,2377,17,16.36,16.03178879,3712
National Institute of Technology Warangal,4895,2467,493,16.03,13.1031665,4895
Indian Institute of Technology Patna,1194,867,0,15.92,18.15326633,1194
