Name,NT,NE,NE/NT,Full Time,SS,UG Intake,PG Intake,Part Time,UG Enrolled,PG Enrolled
Indian Institute of Technology Madras,5386,5849,1.0859636093575937,2112,18.5,3813,1573,39,3935,1914
Indian Institute of Technology Delhi,5986,6165,1.0299031072502507,2349,18.5,3772,2214,570,3988,2177
Indian Institute of Technology Bombay,5287,5917,1.1191602042746358,1879,18.5,3744,1543,308,4179,1738
Indian Institute of Technology Kanpur,5366,5266,0.9813641446142378,1742,18.25,3471,1895,26,3507,1759
Indian Institute of Technology Kharagpur,8719,8679,0.9954123179263678,2963,18.44,2773,5946,0,2519,6160
Indian Institute of Technology Roorkee,5463,5307,0.971444261394838,1880,18.11,3498,1965,234,3455,1852
Indian Institute of Technology Guwahati,4370,4257,0.974141876430206,1838,16.69,2948,1422,164,2926,1331
Indian Institute of Technology Hyderabad,1614,1576,0.976456009913259,494,10.32,1127,487,123,1143,433
National Institute of Technology Tiruchirappalli,4432,4647,1.0485108303249098,649,16.0,3268,1164,412,3671,976
National Institute of Technology Karnataka,4118,4473,1.0862068965517242,622,16.0,2960,1158,177,3365,1108
Indian Institute of Technology (Indian School of Mines),5535,4651,0.8402890695573623,602,15.34,3890,1645,562,3739,912
Vellore Institute of Technology,35304,31870,0.9027305687740766,1022,18.54,27966,7338,1041,25554,6316
Indian Institute of Technology Indore,1445,1178,0.8152249134948096,485,9.11,1089,356,15,1054,124
Indian Institute of Technology (Banaras Hindu University) Varanasi,5945,5509,0.9266610597140454,1044,17.51,4968,977,4,4686,823
Institute of Chemical Technology,1628,1580,0.9705159705159705,316,10.28,844,784,73,871,709
Amrita Vishwa Vidyapeetham,10760,10106,0.9392193308550186,265,17.09,8940,1820,358,9349,757
Jadavpur University,6990,6253,0.8945636623748212,1175,17.08,5520,1470,0,4908,1345
Anna University,14098,13175,0.9345297205277344,846,18.02,10690,3408,765,10558,2617
