Name,NT,NE,NE/NT,Full Time,Part Time,SS,score,dif,phd score,"Score on NE,NT",actual dif
Vishwakarma Institute of Technology,4267,5014,1.175064448,62,0,14.5,18.5,4,1,14.5,0
New Horizon College of Engineering,4770,5438,1.140041929,5,51,13.5,18.5,5,0,13.5,0
Indian Institute of Technology Bombay,5287,5917,1.119160204,1879,308,18.5,18.5,0,5,18.5,0
Indian Institute of Technology Madras,5386,5849,1.085963609,2112,39,18.5,18.5,0,5,18.5,0
R.V. College of Engineering,4960,5360,1.080645161,27,314,14,18.5,4.5,0.5,14,0
Manipal Institute of Technology,8542,9188,1.075626317,124,2,15.5,18.5,3,2,15.5,0
Indian Institute of Technology Guwahati,4370,4257,0.974141876,1838,164,16.69,18.16183797,,,,
Indian Institute of Technology Hyderabad,1614,1576,0.97645601,494,123,10.32,18.19210126,,,,
National Institute of Technology Tiruchirappalli,4432,4647,1.04851083,649,412,16,18.5,,,,
National Institute of Technology Karnataka,4118,4473,1.086206897,622,177,16,18.5,,,,
Indian Institute of Technology (Indian School of Mines),5535,4651,0.84028907,602,562,15.34,16.41136534,,,,
Anurag University,5166,5522,1.068912118,2,0,13.5,18.5,5,0,13.5,0
Indian Institute of Technology Indore,1445,1178,0.815224913,485,15,9.11,16.08358649,,,,
Goka Raju Ranga Raju Institute of Engineering & Technology,5088,5375,1.056407233,0,0,13.5,18.5,5,0,13.5,0
Institute of Chemical Technology,1628,1580,0.970515971,316,73,10.28,18.11441984,,,,
Velagapudi Ramakrishna Siddhartha Engineering College,4902,5158,1.052223582,0,63,13.5,18.5,5,0,13.5,0
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,5028,5244,1.042959427,10,0,13.5,18.5,5,0,13.5,0
Chandigarh Engineering College,5424,5611,1.034476401,0,92,13.5,18.5,5,0,13.5,0
Indian Institute of Technology Ropar,1516,1463,0.965039578,538,36,11.24,18.0428018,,,,
Dr. Vishwanath Karad MIT World Peace University,5760,5949,1.0328125,124,0,15.5,18.5,3,2,15.5,0
Indian Institute of Technology Patna,1393,1194,0.857142857,432,52,9.43,16.63177233,,,,
Indian Institute of Technology Gandhinagar,1097,1063,0.969006381,436,4,10.27,18.09467804,,,,
National Institute of Technology Warangal,4659,4895,1.050654647,500,121,16,18.5,,,,
Indian Institute of Technology Delhi,5986,6165,1.029903107,2349,570,18.5,18.5,0,5,18.5,0
National Institute of Technology Calicut,4661,4742,1.017378245,613,101,16,18.5,,,,
Kalinga Institute of Industrial Technology,14224,14567,1.024114173,811,0,19,19,0,5,19,0
Indian Institute of Engineering Science and Technology,3232,3006,0.930074257,809,0,13.77,17.58553955,,,,
Indian Institute of Technology Bhubaneswar,1767,1681,0.951329938,161,0,9.13,17.8635127,,,,
National Institute of Technology Durgapur,3581,3364,0.939402402,354,282,12.86,17.70752923,,,,
Visvesvaraya National Institute of Technology,4157,3942,0.94828001,440,44,14.38,17.82362698,,,,
KLE Technological University,5200,5239,1.0075,4,122,13.5,18.5,5,0,13.5,0
PSG College of Technology,6417,6459,1.006545115,147,259,15.5,18.5,3,2,15.5,0
Jamia Millia Islamia,1683,1894,1.125371361,317,0,10.5,18.5,,,,
Chandigarh University,13302,13306,1.000300707,188,156,17,19,2,3,17,0
Aligarh Muslim University,2077,2218,1.067886375,274,10,12,18.5,,,,
PES University,5808,5791,0.997073003,32,48,13.96,18.46,4.5,0.5,13.96,0
Malaviya National Institute of Technology,4903,3967,0.809096472,475,296,12.71,16.00344122,,,,
Indian Institute of Technology Kharagpur,8719,8679,0.995412318,2963,0,18.44,18.44,0,5,18.44,0
Lovely Professional University,17780,17649,0.992632171,341,975,17.89,18.9,1.01,3.99,17.9,-0.01
Indian Institute of Space Science and Technology,894,738,0.825503356,160,50,6.95,16.21800378,,,,
Indian Institute of Technology Mandi,1894,1677,0.885427666,258,21,9.64,17.00166957,,,,
Motilal Nehru National Institute of Technology,4761,4443,0.933207309,420,117,14.2,17.62651233,,,,
Indian Institute of Technology Jodhpur,1310,1278,0.975572519,289,3,10.32,18.18054733,,,,
National Institute of Technology Kurukshetra,4472,4226,0.944991055,223,255,13.34,17.78061537,,,,
Sri Sivasubramaniya Nadar College of Engineering,3816,4102,1.074947589,261,280,15,18.5,,,,
Birla Institute of Technology,3772,2935,0.778101803,236,38,10.17,15.59810553,,,,
National Institute of Technology Silchar,3327,3102,0.932371506,495,134,12.79,17.61558203,,,,
Dr. B. R. Ambedkar National Institute of Technology,4136,3729,0.901595745,339,108,13.82,17.21310913,,,,
Birla Institute of Technology & Science -Pilani,11527,11424,0.991064457,361,147,17.87,18.88,1.01,3.99,17.88,-0.01
Siksha `O` Anusandhan,7500,7398,0.9864,576,135,17.32,18.32,1,4,17.32,0
"College of Engineering, Pune",3168,3724,1.175505051,61,176,11.5,18.5,,,,
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),14492,14251,0.983370135,176,719,16.75,18.78,2.03,2.97,16.78,-0.03
International Institute of Information Technology Hyderabad,1791,1524,0.850921273,117,57,8.38,16.55040898,,,,
Kumaraguru College of Technology,5568,5471,0.982579023,20,114,13.26,18.27,5.01,0,13.27,-0.01
Kalasalingam Academy of Research and Education,5694,4284,0.752370917,233,47,12.16,15.26160746,,,,
Visvesvaraya Technological University,1670,1433,0.858083832,36,217,6.94,16.64407802,,,,
