Name,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
Indian Institute of Technology Madras,18.5,30.0,17.88,29.09,34.43,37.0,15.0,10.0,28.5,15.0,21.1,17.32,21.43,13.57,7.43,20.0,100.0
Indian Institute of Technology Delhi,18.5,29.39,18.48,25.39,35.0,39.43,13.0,8.39,29.53,13.15,21.65,16.64,24.21,18.19,3.99,20.0,98.63
Indian Institute of Technology Bombay,18.5,30.0,19.48,21.33,33.66,36.18,15.0,7.72,29.96,13.85,19.51,16.39,18.53,12.56,4.59,18.0,92.88
Indian Institute of Technology Kanpur,18.25,26.27,17.01,25.18,29.32,31.18,15.0,7.63,36.55,15.0,22.0,16.24,18.95,8.73,8.28,20.0,87.05
Indian Institute of Technology Kharagpur,18.44,26.46,17.51,18.1,32.54,39.14,12.0,4.91,27.91,13.73,21.37,20.0,21.64,12.31,4.51,20.0,88.5
Indian Institute of Technology Roorkee,18.11,25.43,16.16,19.58,31.42,35.56,6.0,5.15,36.54,15.0,21.85,17.35,24.05,12.41,6.9,20.0,63.59
Indian Institute of Technology Guwahati,16.69,27.4,16.48,18.68,29.47,31.84,4.0,5.01,31.27,15.0,22.06,16.29,23.55,11.31,4.97,20.0,60.58
Indian Institute of Technology Hyderabad,10.32,30.0,16.78,25.5,22.26,22.09,7.0,5.55,30.94,15.0,20.57,6.03,16.5,14.46,5.61,20.0,66.7
National Institute of Technology Tiruchirappalli,16.0,20.82,13.74,19.44,23.21,24.5,3.0,3.91,35.46,15.0,17.3,10.37,16.59,17.96,6.8,20.0,69.32
National Institute of Technology Karnataka,16.0,24.29,14.89,17.98,23.44,22.97,1.0,2.76,35.31,15.0,16.64,11.67,16.76,18.2,9.58,20.0,50.18
Indian Institute of Technology (Indian School of Mines),15.34,21.92,14.98,17.05,28.25,30.94,2.5,3.84,30.29,14.51,17.14,11.17,19.46,7.07,8.09,20.0,35.36
Vellore Institute of Technology,18.54,20.02,13.2,9.65,27.24,35.19,7.0,0.27,25.57,13.92,13.67,13.84,19.06,20.66,0.12,20.0,49.73
Indian Institute of Technology Indore,9.11,29.61,16.65,20.84,24.56,25.64,2.0,3.68,26.8,14.93,20.62,9.22,17.15,11.44,7.18,20.0,30.29
Indian Institute of Technology (Banaras Hindu University) Varanasi,17.51,19.77,13.25,16.88,20.77,24.42,4.0,2.43,33.85,14.63,20.29,10.3,17.33,9.46,9.01,20.0,49.96
Institute of Chemical Technology,10.28,25.7,16.91,22.57,19.2,21.37,8.0,6.05,32.82,15.0,13.8,10.94,6.51,24.36,1.8,13.0,21.98
Amrita Vishwa Vidyapeetham,17.09,27.43,14.63,10.49,26.73,21.87,9.0,1.42,30.9,15.0,10.98,2.68,13.64,21.53,1.51,20.0,35.04
Jadavpur University,17.08,17.19,11.6,8.95,27.22,29.09,1.5,2.8,32.58,15.0,16.0,13.3,3.67,12.9,6.42,20.0,48.82
Anna University,18.02,24.03,13.38,10.86,20.63,24.18,3.0,2.25,19.67,15.0,12.89,11.05,0.77,26.66,3.44,20.0,65.95
Indian Institute of Technology Ropar,11.24,30.0,17.57,22.54,13.55,16.04,1.5,2.99,31.17,14.48,19.02,4.42,22.84,15.12,4.82,20.0,33.74
National Institute of Technology Rourkela,17.21,19.13,13.14,12.73,25.11,28.24,1.5,1.72,32.74,12.74,14.68,12.36,14.31,11.97,4.44,20.0,28.08
Indian Institute of Technology Patna,9.43,28.85,17.38,20.84,20.82,19.67,1.5,2.94,25.87,12.96,19.29,5.66,15.92,9.78,7.52,20.0,28.83
Indian Institute of Technology Gandhinagar,10.27,29.06,18.35,24.41,14.37,13.17,1.0,6.51,24.42,12.19,16.04,4.66,20.79,18.56,3.29,20.0,39.87
