Name,Total Research,Total Consultancy,FPPP,S
Indian Institute of Technology Madras,12303940195,4141500880,10.0,19.58170734625
Indian Institute of Technology Delhi,9735409420,1030982579,8.39,9.8790135125
Indian Institute of Technology Bombay,6630975638,1816900000,7.72,9.5154817285
Indian Institute of Technology Kanpur,6111672833,889641691,7.63,6.80785885225
Indian Institute of Technology Kharagpur,4048829134,764721941,4.91,4.948426703
Indian Institute of Technology Roorkee,1863224947,1627981437,5.15,5.46737230275
Indian Institute of Technology Guwahati,2474800000,273200000,5.01,2.5391
Indian Institute of Technology Hyderabad,1444295552,145220012,5.55,1.446271694
National Institute of Technology Tiruchirappalli,1460178827,123718278,3.91,1.40442981525
National Institute of Technology Karnataka,717307396,151530885,2.76,0.9168077595
Indian Institute of Technology (Indian School of Mines),1183044939,496168445,3.84,2.12770481675
Vellore Institute of Technology,412515259,21180540,0.27,0.36233779425
Indian Institute of Technology Indore,533530240,18357482,3.68,0.446041385
Indian Institute of Technology (Banaras Hindu University) Varanasi,665329886,340034751,2.43,1.349084292
Institute of Chemical Technology,999463802,176951175,6.05,1.191975789
Amrita Vishwa Vidyapeetham,721358877,95246031,1.42,0.77913423525
Jadavpur University,885846260,557459631,2.8,2.0580337725
Anna University,1174779182,804979575,2.25,2.893533324
Indian Institute of Technology Ropar,422987072,34399020,2.99,0.403237854
National Institute of Technology Rourkela,556329051,111882380,1.72,0.69695273825
Indian Institute of Technology Patna,293117127,49560941,2.94,0.34374019775
Indian Institute of Technology Gandhinagar,946188360,136359425,6.51,1.0505398325
National Institute of Technology Warangal,727612187,68578575,2.42,0.71715557775
Thapar Institute of Engineering and Technology,274862768,53088043,0.8,0.3388671835
National Institute of Technology Calicut,234988005,34558928,1.02,0.26263832375
Birla Institute of Technology & Science -Pilani,247197211,24405100,0.49,0.24641065825
Indian Institute of Engineering Science and Technology,427685983,105773161,2.29,0.58519738975
Indian Institute of Technology Bhubaneswar,404817182,86958988,3.65,0.5210103565
National Institute of Technology Durgapur,342630902,53386633,1.83,0.390439759
Visvesvaraya National Institute of Technology,802907195,543842888,3.94,1.96178761625
Amity University,216213907,3916685,0.53,0.17195214275
Siksha `O` Anusandhan,152428000,192350500,0.85,0.59519725
Jamia Millia Islamia,208569873,115901341,2.46,0.44618075725
S.R.M. Institute of Science and Technology,366508235,47196593,0.38,0.39287265875
Aligarh Muslim University,81380392,41355408,0.85,0.164423814
Delhi Technological University,199459525,498053438,1.2,1.39472823875
Malaviya National Institute of Technology,197303174,239495113,1.46,0.746715163
Shanmugha Arts Science Technology & Research Academy,251860982,573686966,1.56,1.6231131515
Kalinga Institute of Industrial Technology,260361805,120623578,0.54,0.49683029875
Indian Institute of Space Science and Technology,48465476,40765700,1.15,0.138263357
Indian Institute of Technology Mandi,434223289,13118544,3.0,0.35846382675
Motilal Nehru National Institute of Technology,211901410,172637717,1.4,0.59052035
Indian Institute of Technology Jodhpur,350015360,8333643,3.12,0.2833456275
National Institute of Technology Kurukshetra,52360618,206797133,0.96,0.556263296
Sri Sivasubramaniya Nadar College of Engineering,104644111,45121077,0.73,0.19128577575
Birla Institute of Technology,288582639,25809880,1.48,0.28096167925
National Institute of Technology Silchar,97043878,14934474,0.63,0.1101190935
Dr. B. R. Ambedkar National Institute of Technology,54725935,47886343,0.49,0.16076030875
