Name,Total Research,Total Consultancy,FPPP,S
Indian Institute of Technology Madras,69.209663596875,258.843805,10.0,19.58170734625
Indian Institute of Technology Delhi,54.7616779875,64.4364111875,8.39,9.8790135125
Indian Institute of Technology Bombay,37.29923796375,113.55625,7.72,9.5154817285
Indian Institute of Technology Kanpur,34.378159685625,55.6026056875,7.63,6.80785885225
Indian Institute of Technology Kharagpur,22.77466387875,47.7951213125,4.91,4.948426703
Indian Institute of Technology Roorkee,10.480640326875,101.7488398125,5.15,5.46737230275
Indian Institute of Technology Guwahati,13.92075,17.075,5.01,2.5391
Indian Institute of Technology Hyderabad,8.12416248,9.07625075,5.55,1.446271694
National Institute of Technology Tiruchirappalli,8.213505901875,7.732392375,3.91,1.40442981525
National Institute of Technology Karnataka,4.0348541025,9.4706803125,2.76,0.9168077595
Indian Institute of Technology (Indian School of Mines),6.654627781875,31.0105278125,3.84,2.12770481675
Vellore Institute of Technology,2.320398331875,1.32378375,0.27,0.36233779425
Indian Institute of Technology Indore,3.0011076,1.147342625,3.68,0.446041385
Indian Institute of Technology (Banaras Hindu University) Varanasi,3.74248060875,21.2521719375,2.43,1.349084292
Institute of Chemical Technology,5.62198388625,11.0594484375,6.05,1.191975789
Amrita Vishwa Vidyapeetham,4.057643683125,5.9528769375,1.42,0.77913423525
Jadavpur University,4.9828852125,34.8412269375,2.8,2.0580337725
Anna University,6.60813289875,50.3112234375,2.25,2.893533324
Indian Institute of Technology Ropar,2.37930228,2.14993875,2.99,0.403237854
National Institute of Technology Rourkela,3.129350911875,6.99264875,1.72,0.69695273825
Indian Institute of Technology Patna,1.648783839375,3.0975588125,2.94,0.34374019775
Indian Institute of Technology Gandhinagar,5.322309525,8.5224640625,6.51,1.0505398325
National Institute of Technology Warangal,4.092818551875,4.2861609375,2.42,0.71715557775
Thapar Institute of Engineering and Technology,1.54610307,3.3180026875,0.8,0.3388671835
National Institute of Technology Calicut,1.321807528125,2.159933,1.02,0.26263832375
Birla Institute of Technology & Science -Pilani,1.390484311875,1.52531875,0.49,0.24641065825
Indian Institute of Engineering Science and Technology,2.405733654375,6.6108225625,2.29,0.58519738975
Indian Institute of Technology Bhubaneswar,2.27709664875,5.43493675,3.65,0.5210103565
National Institute of Technology Durgapur,1.92729882375,3.3366645625,1.83,0.390439759
Visvesvaraya National Institute of Technology,4.516352971875,33.9901805,3.94,1.96178761625
Amity University,1.216203226875,0.2447928125,0.53,0.17195214275
Siksha `O` Anusandhan,0.8574075,12.02190625,0.85,0.59519725
Jamia Millia Islamia,1.173205535625,7.2438338125,2.46,0.44618075725
